frame,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,label
45,525,471,0,0,519,464,0,0,492,458,525,490,457,495,549,541,428,557,572,580,425,615,507,605,469,608,491,675,484,680,457,736,489,753,ID: 10.0
46,559,463,0,0,551,455,0,0,519,452,550,487,488,492,561,533,470,558,576,574,486,619,547,611,504,615,553,678,499,687,514,732,484,756,ID: 10.0
47,598,461,0,0,591,454,0,0,566,453,597,494,535,498,0,0,518,566,0,0,527,622,595,618,550,620,594,690,532,692,585,757,492,747,ID: 10.0
48,638,470,0,0,632,462,0,0,607,457,636,492,570,497,663,540,549,563,689,575,558,618,630,614,590,617,618,692,598,693,581,752,568,741,ID: 10.0
49,671,470,0,0,663,461,0,0,634,460,665,496,600,504,692,545,579,568,722,587,578,626,658,618,616,623,649,689,621,699,617,741,608,766,ID: 10.0
50,718,471,0,0,711,465,0,0,680,464,712,501,642,504,743,547,624,569,782,583,629,629,705,622,657,625,712,691,643,698,694,765,609,769,ID: 10.0
51,792,478,0,0,786,469,0,0,758,462,787,504,715,496,856,546,674,550,895,562,663,606,750,634,705,629,737,713,683,703,708,771,641,757,ID: 10.0
52,856,498,0,0,851,488,0,0,827,479,858,523,784,511,880,572,726,552,917,588,687,601,792,639,749,633,757,707,742,705,722,758,736,786,ID: 10.0
53,877,500,0,0,872,490,0,0,844,478,867,515,799,515,882,561,779,578,914,585,821,626,818,638,774,638,792,704,754,716,753,758,727,790,ID: 10.0
54,884,498,0,0,878,489,0,0,849,483,868,525,804,521,888,570,797,587,918,587,838,642,821,637,775,637,835,709,759,719,798,786,722,792,ID: 10.0
55,897,483,0,0,891,475,0,0,863,472,877,520,819,513,888,564,789,579,919,576,781,645,850,648,808,642,831,731,778,717,807,803,733,773,ID: 10.0
56,917,473,0,0,912,466,0,0,884,468,901,515,841,514,929,568,828,584,978,581,854,644,873,642,835,644,863,721,844,729,815,783,806,807,ID: 10.0
57,960,484,0,0,955,475,0,0,926,473,936,521,885,520,949,577,870,593,982,588,880,661,909,652,878,654,883,728,878,742,825,796,855,830,ID: 10.0
58,995,490,0,0,992,481,0,0,966,476,965,527,919,517,957,600,900,595,985,592,923,661,934,652,901,651,939,726,894,740,893,801,858,825,ID: 10.0
59,1029,499,0,0,1026,491,0,0,1001,484,994,533,957,523,0,0,940,597,0,0,951,668,960,656,928,653,979,735,905,738,977,825,862,825,ID: 10.0
60,1055,497,0,0,1055,489,0,0,1039,475,1021,513,993,512,0,0,999,592,0,0,1027,654,988,644,963,643,989,734,947,733,969,824,878,813,ID: 10.0
61,1079,481,0,0,1076,472,0,0,1053,472,1053,520,1017,519,1089,563,1025,594,1124,558,1063,649,1037,653,1015,654,1036,739,1026,746,979,814,981,827,ID: 10.0
62,1118,482,1130,475,1112,472,1135,481,1101,472,1096,527,1090,520,1090,589,1053,595,1131,588,1050,665,1060,660,1067,661,1030,731,1085,754,990,814,1071,840,ID: 10.0
63,1185,487,0,0,1184,478,0,0,1166,478,1116,508,1142,529,0,0,1145,614,0,0,1177,669,1086,652,1105,662,1081,743,1097,761,1069,817,1070,845,ID: 10.0
64,1230,490,0,0,1228,481,0,0,1210,476,1145,507,1198,523,1111,566,1198,608,1134,616,1229,666,1133,653,1156,660,1183,743,1124,759,1181,830,1068,842,ID: 10.0
65,0,0,0,0,0,0,0,0,1256,470,1182,507,1241,516,1146,583,1243,597,0,0,1264,659,1168,647,1201,652,1211,735,1218,741,1188,823,1148,818,ID: 10.0
66,0,0,0,0,0,0,0,0,1297,482,1237,519,1278,533,0,0,1275,616,0,0,1306,674,1215,660,1249,667,1233,751,1273,757,1215,838,1264,848,ID: 10.0
67,0,0,0,0,0,0,0,0,1341,481,1274,521,1319,538,0,0,1323,622,0,0,1340,684,1255,664,1286,672,1271,752,1283,766,1255,833,1258,848,ID: 10.0
68,0,0,0,0,0,0,0,0,1363,477,1306,511,1343,532,1329,551,1350,617,1381,562,1377,675,1302,656,1323,667,1314,740,1307,760,1313,813,1265,844,ID: 10.0
69,1408,480,0,0,1407,471,0,0,1394,470,1359,504,1371,520,1394,542,1371,598,1440,551,1394,659,1347,641,1357,650,1364,730,1370,740,1329,812,1325,818,ID: 10.0
70,0,0,0,0,0,0,0,0,1460,481,1401,517,1442,527,1419,576,1431,608,0,0,1441,676,1357,659,1396,662,1347,735,1426,741,1304,818,1414,829,ID: 10.0
71,0,0,0,0,0,0,0,0,1520,481,1452,505,1503,526,0,0,1518,607,0,0,1549,663,1415,648,1447,658,1438,736,1446,756,1435,808,1409,830,ID: 10.0
72,0,0,0,0,0,0,0,0,1555,481,1484,504,1549,526,1451,557,1553,613,0,0,1577,679,1470,648,1504,657,1511,729,1467,751,1505,815,1420,829,ID: 10.0
73,0,0,0,0,0,0,0,0,1595,466,1507,501,1592,522,1465,544,1605,606,1511,547,1628,672,1505,651,1554,661,1543,733,1554,751,1548,811,1482,804,ID: 10.0
74,0,0,0,0,0,0,1588,462,1637,472,1544,501,1643,526,1481,546,1669,607,1478,543,1682,660,1525,649,1592,661,1514,724,1595,748,1495,812,1590,841,ID: 10.0
75,0,0,0,0,0,0,1624,456,0,0,1586,501,1689,522,1517,544,1707,602,1465,559,1708,664,1566,651,1630,661,1548,725,1618,749,1533,823,1592,838,ID: 10.0
76,0,0,0,0,0,0,1618,459,0,0,1604,505,1690,516,1570,567,1704,602,1511,563,1694,657,1593,655,1650,658,1552,720,1617,747,1544,816,1603,835,ID: 10.0
77,0,0,1569,458,0,0,1586,454,0,0,1580,508,1658,511,1547,576,0,0,1488,564,0,0,1571,655,1624,654,1539,731,1603,745,1537,822,1606,836,ID: 10.0
78,1558,461,1561,451,0,0,1577,453,0,0,1574,508,1642,504,1541,569,0,0,1483,557,0,0,1564,650,1611,644,1537,726,1600,727,1541,819,1622,814,ID: 10.0
79,1565,453,1568,443,0,0,1586,443,0,0,1582,496,1645,495,1543,558,0,0,1486,549,0,0,1572,639,1616,636,1537,726,1594,727,1536,821,1595,813,ID: 10.0
80,1569,454,1571,444,0,0,1590,444,0,0,1589,494,1649,493,1542,554,0,0,1479,550,0,0,1573,637,1617,632,1542,721,1589,726,1539,819,1588,813,ID: 10.0
81,1573,448,1579,440,1571,443,1593,445,0,0,1578,492,1633,496,1532,547,0,0,1471,547,0,0,1562,635,1601,633,1520,721,1580,720,1530,814,1579,813,ID: 10.0
82,1525,455,1528,447,0,0,1541,451,0,0,1539,499,1583,497,1506,552,0,0,1450,547,0,0,1525,635,1564,631,1475,715,1557,717,1454,799,1570,808,ID: 10.0
83,1452,456,1454,448,0,0,1472,452,0,0,1484,505,1508,495,1469,567,1484,542,1428,546,0,0,1469,637,1494,630,1423,710,1494,710,1423,799,1543,787,ID: 10.0
84,1425,474,1425,465,0,0,1448,457,0,0,1470,501,1478,494,1462,563,0,0,1425,559,0,0,1452,629,1460,621,1419,705,1436,698,1421,801,1454,760,ID: 10.0
85,1425,473,1427,463,0,0,1448,458,0,0,1464,503,1482,495,1452,570,0,0,1424,554,0,0,1440,627,1452,620,1418,707,1421,705,1420,800,1420,789,ID: 10.0
86,1419,468,1425,459,0,0,1453,459,0,0,1459,507,1481,494,1447,572,0,0,1423,556,0,0,1435,627,1452,618,1409,710,1424,705,1417,800,1420,789,ID: 10.0
87,1407,465,1416,456,0,0,1440,460,0,0,1449,506,1409,504,1441,570,0,0,1421,557,0,0,1429,628,1403,626,1410,710,1401,706,1412,796,1408,791,ID: 10.0
89,0,0,0,0,0,0,0,0,0,0,1404,505,0,0,1423,560,0,0,0,0,0,0,1425,581,1410,582,1413,663,1404,669,1399,770,1401,768,ID: 10.0
107,1351,477,1355,470,0,0,1373,472,0,0,1362,505,1419,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ID: 19.0
